应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1913,屏幕键盘,http://app.loongapps.cn/#/detail/1913,1.4.1-2kylin7k27,http://113.24.212.22:8090/upload/file/onboard_1.4.1-2kylin7k27_loongarch64.deb,358.5 KB,系统工具,开源软件,2023-11-22T15:24:04,http://113.24.212.22:8090/upload/image/2023112214042512.png,onboard
1753,金山PDF专业版,http://app.loongapps.cn/#/detail/1753,11.8.0.11071.AK.sw,http://113.24.212.22:8090/upload/file/wps-office-pdf-loongarch64.deb,498.9 MB,办公应用,北京金山办公软件股份有限公司,2023-09-08T10:52:09,http://113.24.212.22:8090/upload/image/2023090810492264.png,/usr/bin/wpspdf-pro
1745,毒霸终端安全系统,http://app.loongapps.cn/#/detail/1745,4.0.0,http://113.24.212.22:8090/upload/file/kingsoftclient2021_4.0.0-loongarch64.deb,240.2 MB,系统安全,北京金山安全软件有限公司,2023-09-21T09:57:40,http://113.24.212.22:8090/upload/image/2023090710494176.png,/opt/BDFZ/KSF/KSFRJJH4
1741,威讯云桌面,http://app.loongapps.cn/#/detail/1741,8.5.0.30,http://113.24.212.22:8090/upload/file/weixunclient-loongarch64.deb,104.5 MB,办公应用,福建升腾资讯有限公司,2023-08-31T16:24:23,http://113.24.212.22:8090/upload/image/2023083116233147.png,/opt/apps/com.centerm.weixunclient/files/linuxclient/IvyClientQt.sh
1740,威讯云桌面(3A4000)版,http://app.loongapps.cn/#/detail/1740,8.5.0.30,http://113.24.212.22:8090/upload/file/weixunclient-loongarch64.deb,17.9 MB,办公应用,福建升腾资讯有限公司,2023-08-31T16:21:00,http://113.24.212.22:8090/upload/image/2023083116195439.png,/opt/apps/com.centerm.weixunclient/files/linuxclient/IvyClientQt.sh
1730,金山词霸,http://app.loongapps.cn/#/detail/1730,0.1.0-lnd.edu1,http://113.24.212.22:8090/upload/file/jscb_0.1.0-lnd.edu1_loongarch64.deb,71.8 MB,教育学习,北京金山办公软件股份有限公司,2023-08-23T14:40:30,http://113.24.212.22:8090/upload/image/202308231439100.png,/opt/jscb/jscb
1689,Flight of the Amazon Queen冒险游戏,http://app.loongapps.cn/#/detail/1689,1.0.0-8.1,http://113.24.212.22:8090/upload/file/flight-of-the-amazon-queen_1.0.0-8.1_all.deb,34.9 MB,游戏娱乐,开源软件,2023-07-19T09:57:39,http://113.24.212.22:8090/upload/image/2023071909565196.png,/usr/games/scummvm -p /usr/share/scummvm/flight-of-the-amazon-queen queen
1622,Krfb桌面共享程序,http://app.loongapps.cn/#/detail/1622,4:17.08.3-1.1,http://113.24.212.22:8090/upload/file/krfb_43a17.08.3-1.1_loongarch64.deb,1017.8KB,其他应用,开源软件,2023-06-08T15:58:36,http://113.24.212.22:8090/upload/image/2023060815580572.png,krfb -qwindowtitle %c %i
1528,Event and task manager个人任务管理器,http://app.loongapps.cn/#/detail/1528,3.2.30-1.1,http://113.24.212.22:8090/upload/file/etm_3.2.30-1.1_all.deb,287.2KB,办公应用,开源软件,2023-05-17T10:59:14,http://113.24.212.22:8090/upload/image/202305171058332.png,etm
1508,KWalletManager系统密码管理工具,http://app.loongapps.cn/#/detail/1508,4:18.04.1-1.1,http://113.24.212.22:8090/upload/file/kwalletmanager_43a18.04.1-1.1_loongarch64.deb,903.2KB,其他应用,开源软件,2023-04-26T14:31:24,http://113.24.212.22:8090/upload/image/2023042614305073.png,kwalletmanager5 --kwalletd
1457,cb2bib文本处理应用,http://app.loongapps.cn/#/detail/1457,1.9.9-1.1,http://113.24.212.22:8090/upload/file/cb2bib_1.9.9-1.1_loongarch64.deb,1.1MB,办公应用,开源软件,2023-04-06T16:14:09,http://113.24.212.22:8090/upload/image/2023040616133729.png,cb2bib --bibedit %F
1445,Bibus文献管理软件,http://app.loongapps.cn/#/detail/1445,1.5.2+dfsg-1.1,http://113.24.212.22:8090/upload/file/bibus_1.5.2+dfsg-1.1_all.deb,1.1MB,办公应用,开源软件,2023-03-30T10:51:41,http://113.24.212.22:8090/upload/image/2023033010481150.png,bibus
1416,Cyrus IMAP 管理员,http://app.loongapps.cn/#/detail/1416,0.3.10-4,http://113.24.212.22:8090/upload/file/gyrus_0.3.10-4_loongarch64.deb,122KB,"办公应用,社交沟通",开源软件,2023-03-16T11:02:09,http://113.24.212.22:8090/upload/image/2023031611011426.png,gyrus
1397,金山画王,http://app.loongapps.cn/#/detail/1397,2006,http://113.24.212.22:8090/upload/file/idea-q_2006_loongarch64.deb,175.9 MB,"图像图形,教育学习",二进制翻译软件,2023-02-16T15:49:20,http://113.24.212.22:8090/upload/image/2023020916582477.png,"""/opt/apps/idea-q/files/run.sh"" -f %f"
