应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1945,VSCodium,http://app.loongapps.cn/detail/1945,1.89.1.24130,http://app.loongapps.cn:8090/upload/file/codium_1.89.1.24130_loongarch64.deb,109.4 MB,编程开发,开源软件,2025-01-24T07:28:36,http://app.loongapps.cn:8090/upload/image/202403141624595.png,/usr/share/codium/codium
174,codelite,http://app.loongapps.cn/detail/174,12.0,http://app.loongapps.cn:8090/upload/file/codelite_12.0+dfsg-2_loongarch64.deb,6.2 MB,编程开发,开源软件,2025-01-06T01:28:56,http://app.loongapps.cn:8090/upload/image/2021120316263761.png,codelite
1956,pick,http://app.loongapps.cn/detail/1956,2.0.2-1.1,http://app.loongapps.cn:8090/upload/file/pick_2.0.2-1.1_loongarch64.deb,18.7 KB,系统工具,开源软件,2024-12-16T03:49:18,http://app.loongapps.cn:8090/upload/image/2024102109492414.png,1
1955,可道云,http://app.loongapps.cn/detail/1955,0.5.5,http://app.loongapps.cn:8090/upload/file/kodcloud_0.5.5_loongarch64.deb,105.7 MB,办公应用,杭州可道云网络网络有限公司,2024-12-13T02:24:01,http://app.loongapps.cn:8090/upload/image/2024101514375651.png,/opt/kodcloud/kodcloud
1954,服务与支持,http://app.loongapps.cn/detail/1954,1.0.0-1.lnd.6,http://app.loongapps.cn:8090/upload/file/loongsonchat_1.0.0-1.lnd.6_loongarch64.deb,90.4 MB,社交沟通,龙芯中科（山西）技术有限公司,2024-11-04T17:55:00,http://app.loongapps.cn:8090/upload/image/2024081415032747.png,/opt/apps/loongsonchat/loongsonchat
1953,CCNN SDK,http://app.loongapps.cn/detail/1953,1.0,http://app.loongapps.cn:8090/upload/file/ccnnLoongArch-1.0.deb,4.7 MB,编程开发,CCNN,2024-08-14T01:34:00,http://app.loongapps.cn:8090/upload/image/2024081214582751.png,1
1951,极域电子教室系统软件（国产OS版） 教师端,http://app.loongapps.cn/detail/1951,2.7.3663-1.0.112+15g110cf77+10751cms2024,http://app.loongapps.cn:8090/upload/file/mythware-cms-teacher_2.7.3663-1.0.112+15g110cf77+10751cms2024_loongarch64.deb,119.0 MB,教育学习,南京极域信息科技有限公司,2024-08-08T01:34:00,http://app.loongapps.cn:8090/upload/image/2024080710175964.png,/opt/mythware/classroom-management/Teacher
1952,极域电子教室系统软件（国产OS版）学生端,http://app.loongapps.cn/detail/1952,2.7.3663-1.0.112+15g110cf77+10751cms2024,http://app.loongapps.cn:8090/upload/file/mythware-cms-student_2.7.3663-1.0.112+15g110cf77+10751cms2024_loongarch64.deb,115.7 MB,教育学习,南京极域信息科技有限公司,2024-08-08T01:34:00,http://app.loongapps.cn:8090/upload/image/2024080710290219.png,/opt/mythware/classroom-management/Student
1950,Florence虚拟键盘,http://app.loongapps.cn/detail/1950,0.6.3-1.3,http://app.loongapps.cn:8090/upload/file/florence_0.6.3-1.3_loongarch64.deb,535.6 KB,办公应用,开源软件,2024-05-16T16:23:40,http://app.loongapps.cn:8090/upload/image/2024051616230462.png,florence
1949,wxHexEditor十六进制编辑器,http://app.loongapps.cn/detail/1949,0.23+repack-3.1,http://app.loongapps.cn:8090/upload/file/wxhexeditor_0.23+repack-3.1_loongarch64.deb,354.5 KB,办公应用,开源软件,2024-05-16T16:21:33,http://app.loongapps.cn:8090/upload/image/2024051616202688.png,wxHexEditor
1948,FinalShell远程工具,http://app.loongapps.cn/detail/1948,4.3.10-1,http://app.loongapps.cn:8090/upload/file/finalshell_linux_loong64.deb,91.6 MB,"办公应用,系统工具",开源软件,2024-04-18T17:53:17,http://app.loongapps.cn:8090/upload/image/2024041817522635.png,/usr/lib/finalshell/bin/FinalShell
1947,flash player播放器,http://app.loongapps.cn/detail/1947,32.0.0,http://app.loongapps.cn:8090/upload/file/flashplayer-32_Loongarch64.deb,4.8 MB,"视频播放,教育学习",重庆重橙网络科技有限公司,2024-04-10T18:02:53,http://app.loongapps.cn:8090/upload/image/202404101802014.png,/opt/durapps/FlashPlayer/flashplayer
1946,和信融慧流程自动化机器人单机版软件,http://app.loongapps.cn/detail/1946,4.0.1.4,http://app.loongapps.cn:8090/upload/file/com.homonia.standalone_4.0.1.4_loongarch64_20240314_143959.deb,488.6 MB,办公应用,北京和信融慧信息科技有限公司,2024-03-14T16:32:54,http://app.loongapps.cn:8090/upload/image/202403141630081.png,/opt/apps/com.homonia.standalone/files/bin/designer
1944,天影视通提词器,http://app.loongapps.cn/detail/1944,2.4.0,http://app.loongapps.cn:8090/upload/file/TYST-Teleprompter_2.4.0_0305loongarch64.deb,87.0 MB,"视频播放,图像图形",北京天影视通科技有限公司,2024-03-28T14:27:34,http://app.loongapps.cn:8090/upload/image/2024030709502990.png,/opt/TYST-Teleprompter/tyst-teleprompter
1943,浩辰CAD 2024,http://app.loongapps.cn/detail/1943,24.1,http://app.loongapps.cn:8090/upload/file/gstarcad_24.1_loongarch64.deb,275.3 MB,"办公应用,教育学习",苏州浩辰软件股份有限公司,2024-02-28T09:21:04,http://app.loongapps.cn:8090/upload/image/2024022809050931.png,/opt/apps/gstarcad/v2024/files/gclauncher.sh
835,thunderbird邮件客户端,http://app.loongapps.cn/detail/835,1:68.7.0-1~deb10u1.lnd.5,http://app.loongapps.cn:8090/upload/file/thunderbird_13a68.7.0-1~deb10u1.lnd.5_loongarch64.deb,37.2 MB,办公应用,开源软件,2024-06-05T09:34:47,http://app.loongapps.cn:8090/upload/image/2022051916540086.png,/usr/bin/thunderbird
140,小画家,http://app.loongapps.cn/detail/140,18.04.0,http://app.loongapps.cn:8090/upload/file/kolourpaint_18.04.0-edu3_loongarch64.deb,5.7 MB,教育学习,Martin Koller,2024-04-24T16:57:34,http://app.loongapps.cn:8090/upload/image/2021110810040898.png,kolourpaint
