应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
1168,钉钉,http://app.loongapps.cn/detail/1168,7.6.25.4122002,http://app.loongapps.cn:8090/upload/file/com.alibabainc.dingtalk_7.6.25.4122002_loongarch64.deb,344.7 MB,"社交沟通,办公应用",阿里巴巴,2025-03-03T03:25:37,http://app.loongapps.cn:8090/upload/image/2022082310351918.jpg,/opt/apps/com.alibabainc.dingtalk/files/Elevator.sh
143,海龟编程,http://app.loongapps.cn/detail/143,4:18.04.1-1.1,http://app.loongapps.cn:8090/upload/file/kturtle_43a18.04.1-1.1_loongarch64.deb,1.9 MB,"编程开发,教育学习",Cies Breijs,2025-02-17T03:22:55,http://app.loongapps.cn:8090/upload/image/2021111015014934.png,kturtle -qwindowtitle
1434,yokadi 命令行系统,http://app.loongapps.cn/detail/1434,1.1.1-2.1,http://app.loongapps.cn:8090/upload/file/yokadi_1.1.1-2.1_all.deb,79KB,编程开发,开源软件,2025-02-06T01:29:35,http://app.loongapps.cn:8090/upload/image/2023032115435532.png,x-terminal-emulator -e yokadi
485,xzgv看图工具,http://app.loongapps.cn/detail/485,0.9.1-4.1,http://app.loongapps.cn:8090/upload/file/xzgv_0.9.1-4.1_loongarch64.deb,151.6 KB,图像图形,开源软件,2025-02-06T01:29:05,http://app.loongapps.cn:8090/upload/image/2022042209041532.png,xzgv
877,xshogi将棋游戏,http://app.loongapps.cn/detail/877,1.4.2-2.1,http://app.loongapps.cn:8090/upload/file/xshogi_1.4.2-2.1_loongarch64.deb,76KB,游戏娱乐,开源软件,2025-02-06T01:28:43,http://app.loongapps.cn:8090/upload/image/2022052714594137.png,xshogi
558,xscorch,http://app.loongapps.cn/detail/558,0.2.1-1+nmu2.1,http://app.loongapps.cn:8090/upload/file/xscorch_0.2.1-1+nmu2.1_loongarch64.deb,217.1 KB,游戏娱乐,开源软件,2025-02-06T01:28:14,http://app.loongapps.cn:8090/upload/image/2022042617011081.png,xscorch
876,xscaven淘金者游戏,http://app.loongapps.cn/detail/876,1.4.5-4.1,http://app.loongapps.cn:8090/upload/file/xscavenger_1.4.5-4.1_loongarch64.deb,164KB,游戏娱乐,开源软件,2025-02-06T01:27:41,http://app.loongapps.cn:8090/upload/image/2022052714570681.png,/usr/games/xscavenger
377,xboard国际象棋,http://app.loongapps.cn/detail/377,4.9.1-1.1,http://app.loongapps.cn:8090/upload/file/xboard_4.9.1-1.1_loongarch64.deb,1.4 MB,游戏娱乐,开源软件,2025-02-06T01:26:42,http://app.loongapps.cn:8090/upload/image/2022033116282437.png,xboard
1231,wavesurfer声纹可视化插件,http://app.loongapps.cn/detail/1231,1.8.8p5-1.1,http://app.loongapps.cn:8090/upload/file/wavesurfer_1.8.8p5-1.1_all.deb,168KB,音乐应用,开源软件,2025-02-06T01:26:07,http://app.loongapps.cn:8090/upload/image/2022091916131313.png,/usr/bin/wavesurfer
550,vodovod益智游戏,http://app.loongapps.cn/detail/550,1.10-4.1,http://app.loongapps.cn:8090/upload/file/vodovod_1.10-4.1_loongarch64.deb,360.4 KB,游戏娱乐,开源软件,2025-02-06T01:25:29,http://app.loongapps.cn:8090/upload/image/202204261159466.png,vodovod
1920,远程查看程序,http://app.loongapps.cn/detail/1920,7.0-2.1,http://app.loongapps.cn:8090/upload/file/virt-viewer_7.0-2.1_loongarch64.deb,233.5 KB,系统工具,开源软件,2025-02-06T01:25:01,http://app.loongapps.cn:8090/upload/image/2023113016143293.png,remote-viewer %u
1305,USBView通用串行总线查看器,http://app.loongapps.cn/detail/1305,2.0-21-g6fe2f4f-2.1,http://app.loongapps.cn:8090/upload/file/usbview_2.0-21-g6fe2f4f-2.1_loongarch64.deb,256KB,系统工具,开源软件,2025-02-06T01:23:06,http://app.loongapps.cn:8090/upload/image/202209221453582.png,su-to-root -X -c /usr/bin/usbview
265,tuxfootball2D足球,http://app.loongapps.cn/detail/265,0.3.1-6.1,http://app.loongapps.cn:8090/upload/file/tuxfootball_0.3.1-6.1_loongarch64.deb,15.8 MB,游戏娱乐,开源软件,2025-02-06T01:22:26,http://app.loongapps.cn:8090/upload/image/2022022516352569.png,tuxfootball
309,texworks编辑器,http://app.loongapps.cn/detail/309,0.6.2-3.lnd.2,http://app.loongapps.cn:8090/upload/file/texworks_0.6.2-3.lnd.2_loongarch64.deb,2.5 MB,办公应用,开源软件,2025-02-06T01:21:29,http://app.loongapps.cn:8090/upload/image/2022031110523232.png,texworks
378,tetzle拼图游戏,http://app.loongapps.cn/detail/378,2.1.3+dfsg1-2.1,http://app.loongapps.cn:8090/upload/file/tetzle_2.1.3+dfsg1-2.1_loongarch64.deb,479.2 KB,游戏娱乐,开源软件,2025-02-05T01:05:54,http://app.loongapps.cn:8090/upload/image/2022033116311769.png,tetzle
